Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD,Spend_ILS,Spend_AUD,Spend_TWD,Spend_BRL,Spend_ARS,Spend_ZAR,Spend_CLP,Spend_MXN
AR16732976668620095489,FLORIDA DEMOCRATIC PARTY,EIN ID 59-0772903,US,,7,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR14223721688985501697,Friends Of Jimmy Willis,EIN ID 88-2987041,US,,7,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00823873545980346369,CAROLYN FOR CONGRESS,FEC ID C00649376,US,,76,254200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01574083180154060801,Suzette Furrow,Registered in US-ME 447531,US,,4,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04108873922206760961,Friends of Mark Huizenga,EIN ID 86-1391859,US,,4,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01934637455495921665,Friends of Will Murphy,Registered in US-NY 382433,US,,4,9400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR14333683967138463745,COMMITTEE TO ELECT CAROLINE CORNELL,EIN ID 84-4762220,US,,57,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10039119058034491393,"KOMITET WYBORCZY STOWARZYSZENIE ""BEZPARTYJNI SAMORZĄDOWCY""",,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK",,60,0,7200,0,100,1500,500,20000,32750,250,1000,0,0,0,0,0,0,0,0,0,0
AR18065579882401759233,]init[ Aktiengesellschaft für digitale Kommunikation,,"BG, DE, ES, FI, GR, HR, NL",,110,0,26550,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08359156309739700225,MONTANA RURAL VOTERS ACTION FUND,FEC ID C00609529,US,,1,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02000073635892559873,Georgia Republican Party Inc.,FEC ID C00150672,US,,7,19700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00551500257804943361,ELEICAO 2022 BRUNO ANDRE DE SOUZA DEPUTADO FEDERAL,,BR,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15500,0,0,0,0
AR17394550547310182401,Citizens for Sara Feigenholtz,Registered in US-IL 9783,US,,2,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR13886110476103843841,Tarun Reddy,,US,,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR18336294900884045825,ELEICAO 2022 MARCELO ANDRE CID HERACLITO DO PORTO QUEIROZ DEPUTADO FEDERAL,,BR,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0
AR07710637963398348801,INTEGRITY FIRST PAC,FEC ID C00632562,US,,3,68600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09779895361991606273,Carris for Congress,FEC ID C00849018,US,,3,25200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04778794605980155905,SECURITY IS STRENGTH PAC,FEC ID C00573733,US,,12,311200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04318565014555328513,SC Wonder Strategy SRL,,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK",,219,0,14400,0,100,1500,500,20000,250,69750,1000,0,0,0,0,0,0,0,0,0,0
AR04313632089997049857,Sensible Americans,FEC ID C00840025,US,,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08340847757510049793,Florin-Mircea Andrei,,RO,,84,0,3500,0,0,0,0,0,0,17250,0,0,0,0,0,0,0,0,0,0,0
AR12285823563037933569,Susan Emma Dossor Redmayne,,NZ,,1,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0
AR15410666154984734721,Vivek Kolhe,,IN,,4,0,0,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR18328883041461600257,United for Justice,Registered in US-MA 95509,US,,8,445500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10520884130877538305,YES NORFOLK COMMITTEE,EIN ID 85-2043757,US,,18,11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11857411639097688065,ELEICAO 2022 MAISA DINIZ LIMA DEPUTADO FEDERAL,,BR,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,0
AR16796465699823288321,ELEICAO 2022 DIEGO DE SOUZA GOUVEIA DEPUTADO ESTADUAL,,BR,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0
AR13007095940954193921,INCUBATE,EIN ID 85-4136963,US,,2,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00363102341999624193,TARA SREEKRISHNAN FOR ASSEMBLY 2024,Registered in US-CA 1464784,US,,8,9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06637751714063581185,Safer North Carolina,Registered in US-NC ,US,,12,46300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04496368208114089985,ELEICAO 2022 GIOVANA VITO MONDARDO DEPUTADO FEDERAL,,BR,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35500,0,0,0,0
AR00662822477222641665,DEMOCRATIC ASSEMBLY CAMPAIGN COMMITTEE,Registered in US-NJ X0000000311,US,,30,185300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17896267392510590977,VOTEVETS,FEC ID C00418897,US,,282,2750200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR14565116596256243713,REP. LIZZIE FLETCHER  - U.S. HOUSE OF REPRESENTATIVES,EIN ID 53-6002523,US,,15,9400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
